StockCode,Description,TotalAmount_sum,TotalAmount_mean,TotalAmount_count,Quantity_sum,Quantity_mean,UnitPrice_mean,UnitPrice_std,CustomerID_nunique,InvoiceNo_nunique,Revenue_per_Customer,Avg_Quantity_per_Transaction,Revenue_Category,Popularity_Category
21348,PINK SPOTS CHOCOLATE NESTING BOXES ,355.65,71.13,5,139,27.8,2.79,0.22,5,5,71.13,27.8,Medium,Niche
21349,IVY HEART WREATH,108.0,13.5,8,16,2.0,6.75,0.0,7,8,15.43,2.0,Low,Niche
21351,CINAMMON & ORANGE WREATH,701.8,20.05,35,108,3.09,6.7,0.19,28,33,25.06,3.27,High,Occasional
21352,EUCALYPTUS & PINECONE  WREATH,1179.4,30.24,39,320,8.21,4.49,1.87,36,39,32.76,8.21,High,Occasional
21354,TOAST ITS - BEST MUM,888.45,12.69,70,753,10.76,1.22,0.07,55,68,16.15,11.07,High,Popular
21355,TOAST ITS - I LOVE YOU ,961.65,8.44,114,777,6.82,1.24,0.03,95,107,10.12,7.26,High,Popular
21356,TOAST ITS - FAIRY FLOWER,363.15,6.6,55,304,5.53,1.19,0.24,37,53,9.81,5.74,Medium,Popular
21357,TOAST ITS - DINOSAUR,23.75,2.16,11,19,1.73,1.25,0.0,9,10,2.64,1.9,Low,Occasional
21358,TOAST ITS - HAPPY BIRTHDAY,410.0,6.83,60,328,5.47,1.25,0.0,54,59,7.59,5.56,Medium,Popular
21359,RELAX LARGE WOOD LETTERS,767.55,26.47,29,129,4.45,7.98,5.69,22,28,34.89,4.61,High,Occasional
21360,JOY LARGE WOOD LETTERS,194.15,13.87,14,37,2.64,7.38,3.08,14,14,13.87,2.64,Medium,Occasional
21361,LOVE LARGE WOOD LETTERS ,1178.85,21.05,56,95,1.7,12.72,0.24,43,56,27.42,1.7,High,Popular
21363,HOME SMALL WOOD LETTERS,1103.85,10.93,101,223,2.21,4.95,0.0,68,96,16.23,2.32,High,Popular
21364,PEACE SMALL WOOD LETTERS,175.5,7.98,22,26,1.18,6.75,0.0,19,22,9.24,1.18,Medium,Occasional
21365,MIRRORED WALL ART STARS,360.0,8.18,44,348,7.91,1.1,0.81,35,42,10.29,8.29,Medium,Occasional
21366,MIRRORED WALL ART PHOTO FRAMES,102.0,9.27,11,24,2.18,4.25,0.0,9,10,11.33,2.4,Low,Occasional
21367,MIRRORED WALL ART GENTS,159.51,4.56,35,163,4.66,1.56,1.52,29,35,5.5,4.66,Medium,Occasional
21368,MIRRORED WALL ART LADIES,129.15,4.17,31,161,5.19,0.87,0.45,25,30,5.17,5.37,Medium,Occasional
21369,MIRRORED WALL ART SPLODGES,142.5,10.96,13,98,7.54,1.63,0.94,12,13,11.88,7.54,Medium,Occasional
21370,MIRRORED WALL ART FOXY,88.2,11.02,8,15,1.88,4.94,4.92,7,8,12.6,1.88,Low,Niche
21371,MIRRORED WALL ART POPPIES,274.65,8.58,32,275,8.59,1.09,0.71,27,32,10.17,8.59,Medium,Occasional
21372,MIRRORED WALL ART TABLE LAMP,75.73,3.03,25,67,2.68,1.33,1.47,18,25,4.21,2.68,Low,Occasional
21373,MIRRORED WALL ART SNOWFLAKES,389.25,8.46,46,519,11.28,0.75,0.0,41,46,9.49,11.28,Medium,Popular
21374,MIRRORED WALL ART SKULLS,400.0,10.0,40,294,7.35,1.69,0.96,37,40,10.81,7.35,Medium,Occasional
21375,LARGE CAMPHOR WOOD FIELD MUSHROOM ,109.8,9.15,12,24,2.0,4.4,1.9,9,10,12.2,2.4,Low,Occasional
21376,LARGE  TALL CAMPHOR WOOD TOADSTOOL ,154.65,10.31,15,33,2.2,4.61,1.74,13,13,11.9,2.54,Medium,Occasional
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,123.21,6.48,19,93,4.89,1.45,0.47,18,19,6.84,4.89,Medium,Occasional
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,175.05,7.96,22,129,5.86,1.48,0.44,21,22,8.34,5.86,Medium,Occasional
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,163.11,6.8,24,147,6.12,1.14,0.29,22,23,7.41,6.39,Medium,Occasional
21380,WOODEN HAPPY BIRTHDAY GARLAND,5913.1,25.06,236,2094,8.87,2.97,0.33,138,233,42.85,8.99,Premium,Best-Seller
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,2775.32,19.01,146,1724,11.81,1.69,0.02,88,140,31.54,12.31,Premium,Best-Seller
21382,SET/4 SPRING FLOWER DECORATION,1170.35,12.07,97,1053,10.86,1.66,1.09,64,94,18.29,11.2,High,Popular
21383,PACK OF 12 STICKY BUNNIES,503.1,5.92,85,774,9.11,0.65,0.0,75,78,6.71,9.92,Medium,Popular
21385,IVORY HANGING DECORATION  HEART,2959.34,13.51,219,3566,16.28,0.86,0.09,153,206,19.34,17.31,Premium,Best-Seller
21386,IVORY HANGING DECORATION  EGG,257.57,5.05,51,713,13.98,0.45,0.33,42,46,6.13,15.5,Medium,Popular
21389,IVORY HANGING DECORATION  BIRD,866.15,8.41,103,1019,9.89,0.85,0.0,81,95,10.69,10.73,High,Popular
21390,FILIGRIS HEART WITH BUTTERFLY,4547.88,24.72,184,3784,20.57,1.26,0.16,120,175,37.9,21.62,Premium,Best-Seller
21391,FRENCH LAVENDER SCENT HEART,861.75,10.51,82,978,11.93,1.01,0.54,69,76,12.49,12.87,High,Popular
21392,RED POLKADOT PUDDING BOWL,38.13,5.45,7,32,4.57,1.37,0.91,5,6,7.63,5.33,Low,Niche
21393,BLUE POLKADOT PUDDING BOWL,38.67,4.83,8,29,3.62,1.46,0.89,7,7,5.52,4.14,Low,Niche
21394,RED POLKADOT BEAKER ,1547.2,13.11,118,3844,32.58,0.44,0.27,88,118,17.58,32.58,High,Popular
21395,BLUE POLKADOT BEAKER ,1100.58,13.42,82,2822,34.41,0.39,0.0,63,81,17.47,34.84,High,Popular
21397,BLUE POLKADOT EGG CUP ,445.26,10.12,44,1016,23.09,0.53,0.32,43,44,10.35,23.09,Medium,Occasional
21398,RED POLKADOT COFFEE  MUG,642.75,13.12,49,1499,30.59,0.67,0.64,43,49,14.95,30.59,High,Popular
21399,BLUE POLKADOT COFFEE MUG,874.11,13.05,67,2158,32.21,0.54,0.49,50,65,17.48,33.2,High,Popular
21400,RED PUDDING SPOON,109.74,2.29,48,837,17.44,0.16,0.1,42,48,2.61,17.44,Low,Popular
21401,BLUE PUDDING SPOON,132.3,2.24,59,1010,17.12,0.15,0.09,48,58,2.76,17.41,Medium,Popular
21402,RED  EGG  SPOON,155.4,2.55,61,1290,21.15,0.12,0.04,54,61,2.88,21.15,Medium,Popular
21403,BLUE EGG  SPOON,258.72,3.64,71,1718,24.2,0.13,0.06,58,71,4.46,24.2,Medium,Popular
21407,BROWN CHECK CAT DOORSTOP ,969.25,10.2,95,234,2.46,4.22,0.15,79,95,12.27,2.46,High,Popular
21408,SPOTTY PINK DUCK DOORSTOP,773.41,11.21,69,227,3.29,4.05,1.39,50,66,15.47,3.44,High,Popular
21411,GINGHAM HEART  DOORSTOP RED,2416.96,12.65,191,728,3.81,3.88,1.11,147,186,16.44,3.91,Premium,Best-Seller
21412,VINTAGE GOLD TINSEL REEL,2.52,2.52,1,6,6.0,0.42,,1,1,2.52,6.0,Low,Niche
21413,PERIWINKLE T-LIGHT HOLDER,45.0,4.5,10,36,3.6,1.25,0.0,8,10,5.62,3.6,Low,Niche
21414,SCALLOP SHELL SOAP DISH,2.1,2.1,1,1,1.0,2.1,,1,1,2.1,1.0,Low,Niche
21415,CLAM SHELL SMALL ,384.13,12.0,32,206,6.44,1.98,0.39,25,30,15.37,6.87,Medium,Occasional
21416,CLAM SHELL LARGE,18.75,4.69,4,5,1.25,3.75,0.0,4,4,4.69,1.25,Low,Niche
21417,COCKLE SHELL DISH,422.98,12.82,33,290,8.79,1.78,0.57,24,33,17.62,8.79,Medium,Occasional
21418,STARFISH SOAP DISH,115.25,8.87,13,59,4.54,2.01,0.85,11,12,10.48,4.92,Medium,Occasional
21420,OYSTER TRINKET BOX,87.12,5.81,15,48,3.2,2.92,0.87,12,13,7.26,3.69,Low,Occasional
21421,PORCELAIN ROSE LARGE ,345.14,26.55,13,298,22.92,1.24,0.05,11,13,31.38,22.92,Medium,Occasional
21422,PORCELAIN ROSE SMALL,1221.76,25.45,48,1564,32.58,0.91,0.22,33,48,37.02,32.58,High,Popular
21424,WOODLAND STORAGE BOX LARGE ,626.8,23.21,27,232,8.59,2.89,0.14,21,27,29.85,8.59,High,Occasional
21425,SKULLS STORAGE BOX LARGE,188.05,11.75,16,67,4.19,2.92,0.1,12,16,15.67,4.19,Medium,Occasional
21426,WOODLAND STORAGE BOX SMALL,419.7,19.99,21,217,10.33,2.05,0.1,16,20,26.23,10.85,Medium,Occasional
21427,SKULLS STORAGE BOX SMALL,168.0,6.0,28,80,2.86,2.1,0.0,23,28,7.3,2.86,Medium,Occasional
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4399.8,23.28,189,1134,6.0,4.18,0.2,117,188,37.61,6.03,Premium,Best-Seller
21429,RED GINGHAM ROSE JEWELLERY BOX,2999.1,12.87,233,1658,7.12,1.88,0.13,147,226,20.4,7.34,Premium,Best-Seller
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,9568.35,28.48,336,2745,8.17,3.69,0.15,188,331,50.9,8.29,Premium,Best-Seller
21439,BASKET OF TOADSTOOLS,2007.46,25.41,79,1730,21.9,1.25,0.03,51,78,39.36,22.18,High,Popular
21441,BLUE BIRDHOUSE DECORATION,223.3,5.88,38,376,9.89,0.76,0.33,34,38,6.57,9.89,Medium,Occasional
21442,GREEN BIRDHOUSE DECORATION,232.01,6.27,37,389,10.51,0.72,0.26,31,36,7.48,10.81,Medium,Occasional
21445,12 PINK ROSE PEG PLACE SETTINGS,272.5,12.39,22,218,9.91,1.25,0.0,17,22,16.03,9.91,Medium,Occasional
21446,12 RED ROSE PEG PLACE SETTINGS,500.0,5.81,86,400,4.65,1.25,0.0,47,75,10.64,5.33,Medium,Popular
21447,12 IVORY ROSE PEG PLACE SETTINGS,937.5,10.08,93,750,8.06,1.25,0.0,56,92,16.74,8.15,High,Popular
21448,12 DAISY PEGS IN WOOD BOX,539.55,7.82,69,327,4.74,1.65,0.0,46,62,11.73,5.27,Medium,Popular
21452,TOADSTOOL MONEY BOX,2223.3,15.02,148,774,5.23,2.94,0.07,110,145,20.21,5.34,Premium,Best-Seller
21454,PAINTED PINK RABBIT ,270.3,5.75,47,318,6.77,0.85,0.0,41,43,6.59,7.4,Medium,Popular
21455,PAINTED YELLOW WOODEN DAISY,241.4,6.71,36,284,7.89,0.85,0.0,32,33,7.54,8.61,Medium,Occasional
21456,2 PICTURE BOOK EGGS EASTER CHICKS,202.5,10.12,20,162,8.1,1.25,0.0,17,20,11.91,8.1,Medium,Occasional
21457,2 PICTURE BOOK EGGS EASTER DUCKS,143.75,8.98,16,115,7.19,1.25,0.0,15,16,9.58,7.19,Medium,Occasional
21458,2 PICTURE BOOK EGGS EASTER BUNNY,197.5,10.39,19,158,8.32,1.25,0.0,18,19,10.97,8.32,Medium,Occasional
21459,YELLOW EASTER EGG HUNT START POST,161.85,8.09,20,83,4.15,1.95,0.0,17,20,9.52,4.15,Medium,Occasional
21460,GREEN EASTER EGG HUNT START POST,50.7,5.63,9,26,2.89,1.95,0.0,9,9,5.63,2.89,Low,Niche
21461,BLUE EASTER EGG HUNT START POST,21.45,3.06,7,11,1.57,1.95,0.0,5,6,4.29,1.83,Low,Niche
21462,"NURSERY A,B,C PAINTED LETTERS",859.2,12.82,67,192,2.87,5.89,1.85,57,67,15.07,2.87,High,Popular
21463,MIRRORED DISCO BALL ,3622.2,26.06,139,686,4.94,5.79,0.44,77,137,47.04,5.01,Premium,Best-Seller
21464,DISCO BALL ROTATOR BATTERY OPERATED,1072.25,10.12,106,253,2.39,4.25,0.05,57,106,18.81,2.39,High,Popular
21465,PINK FLOWER CROCHET FOOD COVER,727.46,11.55,63,193,3.06,3.81,0.47,55,63,13.23,3.06,High,Popular
21466,RED FLOWER CROCHET FOOD COVER,982.49,10.8,91,267,2.93,3.9,0.78,71,91,13.84,2.93,High,Popular
21467,CHERRY CROCHET FOOD COVER,821.17,10.26,80,217,2.71,3.84,0.58,58,80,14.16,2.71,High,Popular
21468,BUTTERFLY CROCHET FOOD COVER,468.67,9.37,50,123,2.46,3.9,0.73,43,50,10.9,2.46,Medium,Popular
21469,POLKA DOT RAFFIA FOOD COVER,948.71,13.0,73,252,3.45,3.8,0.43,57,73,16.64,3.45,High,Popular
21470,FLOWER VINE RAFFIA FOOD COVER,1297.38,11.09,117,343,2.93,3.85,0.59,78,116,16.63,2.96,High,Popular
21471,STRAWBERRY RAFFIA FOOD COVER,1717.65,17.71,97,499,5.14,3.73,0.14,78,95,22.02,5.25,High,Popular
21472,LADYBIRD + BEE RAFFIA FOOD COVER,446.25,13.52,33,119,3.61,3.75,0.0,29,33,15.39,3.61,Medium,Occasional
21473,SWEETHEART CREAM STEEL TABLE RECT,438.9,24.38,18,22,1.22,19.95,0.0,16,18,27.43,1.22,Medium,Occasional
21476,STEEL SWEETHEART ROUND TABLE CREAM,463.45,25.75,18,31,1.72,14.95,0.0,14,18,33.1,1.72,Medium,Occasional
21479,WHITE SKULL HOT WATER BOTTLE ,10863.65,27.5,395,2887,7.31,4.02,0.27,254,382,42.77,7.56,Premium,Best-Seller
21481,FAWN BLUE HOT WATER BOTTLE,9458.15,24.01,394,3013,7.65,3.36,0.45,255,386,37.09,7.81,Premium,Best-Seller
21484,CHICK GREY HOT WATER BOTTLE,5957.97,19.93,299,1603,5.36,3.9,0.51,206,284,28.92,5.64,Premium,Best-Seller
21485,RETROSPOT HEART HOT WATER BOTTLE,15970.73,28.72,556,3355,6.03,4.96,0.58,372,541,42.93,6.2,Premium,Best-Seller
21486,PINK HEART DOTS HOT WATER BOTTLE,30.0,7.5,4,8,2.0,3.75,0.0,4,4,7.5,2.0,Low,Niche
21488,RED WHITE SCARF  HOT WATER BOTTLE,11.85,5.93,2,3,1.5,3.95,0.0,2,2,5.92,1.5,Low,Niche
21494,ROTATING LEAVES T-LIGHT HOLDER,1627.23,12.05,135,1230,9.11,1.37,0.36,79,127,20.6,9.69,High,Best-Seller
21495,SKULLS AND CROSSBONES WRAP,2366.5,14.26,166,5825,35.09,0.42,0.01,102,166,23.2,35.09,Premium,Best-Seller
21497,FANCY FONTS BIRTHDAY WRAP,3419.5,14.8,231,8575,37.12,0.42,0.01,176,229,19.43,37.45,Premium,Best-Seller
21498,RED RETROSPOT WRAP ,4341.74,12.85,338,10597,31.35,0.42,0.01,238,337,18.24,31.45,Premium,Best-Seller
21499,BLUE POLKADOT WRAP,2880.5,13.27,217,7125,32.83,0.42,0.02,174,216,16.55,32.99,Premium,Best-Seller
21500,PINK POLKADOT WRAP ,2582.5,12.18,212,6325,29.83,0.42,0.01,161,212,16.04,29.83,Premium,Best-Seller
21503,TOYBOX  WRAP ,278.84,12.12,23,702,30.52,0.42,0.02,21,23,13.28,30.52,Medium,Occasional
21504,SKULLS GREETING CARD,763.2,7.87,97,1884,19.42,0.42,0.01,74,96,10.31,19.62,High,Popular
21506,"FANCY FONT BIRTHDAY CARD, ",1915.92,7.54,254,4752,18.71,0.42,0.01,171,251,11.2,18.93,High,Best-Seller
21507,ELEPHANT BIRTHDAY CARD ,459.96,6.22,74,1104,14.92,0.46,0.12,63,73,7.3,15.12,Medium,Popular
21507,"ELEPHANT, BIRTHDAY CARD, ",864.12,6.8,127,2126,16.74,0.42,0.01,95,127,9.1,16.74,High,Popular
21508,VINTAGE KID DOLLY CARD ,976.15,6.64,147,2405,16.36,0.43,0.07,108,146,9.04,16.47,High,Best-Seller
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,1444.75,7.12,203,3581,17.64,0.43,0.08,142,203,10.17,17.64,High,Best-Seller
21518,BANK ACCOUNT  GREETING  CARD ,106.98,6.29,17,265,15.59,0.42,0.01,16,17,6.69,15.59,Low,Occasional
21519,GIN & TONIC DIET GREETING CARD ,1336.02,6.89,194,3253,16.77,0.42,0.01,100,194,13.36,16.77,High,Best-Seller
21520,BOOZE & WOMEN GREETING CARD ,188.46,5.54,34,459,13.5,0.42,0.01,29,34,6.5,13.5,Medium,Occasional
21523,DOORMAT FANCY FONT HOME SWEET HOME,19197.07,47.87,401,3093,7.71,7.87,1.01,203,400,94.57,7.73,Premium,Best-Seller
21524,DOORMAT SPOTTY HOME SWEET HOME,12144.57,29.41,413,1668,4.04,7.97,1.16,251,408,48.38,4.09,Premium,Best-Seller
21527,RED RETROSPOT TRADITIONAL TEAPOT ,3800.9,23.91,159,502,3.16,7.84,0.31,102,154,37.26,3.26,Premium,Best-Seller
21528,DAIRY MAID TRADITIONAL TEAPOT ,1323.35,13.37,99,193,1.95,6.91,0.2,62,96,21.34,2.01,High,Popular
21530,DAIRY MAID TOASTRACK,738.31,8.03,92,817,8.88,1.05,0.7,65,91,11.36,8.98,High,Popular
21531,RED RETROSPOT SUGAR JAM BOWL,3495.6,15.68,223,1488,6.67,2.51,0.13,143,217,24.44,6.86,Premium,Best-Seller
21533,RETROSPOT LARGE MILK JUG,6415.05,19.32,332,1349,4.06,4.88,0.21,213,321,30.12,4.2,Premium,Best-Seller
21534,DAIRY MAID LARGE MILK JUG,1657.8,11.93,139,340,2.45,4.93,0.1,94,132,17.64,2.58,High,Best-Seller
21535,RED RETROSPOT SMALL MILK JUG,5910.9,17.59,336,2492,7.42,2.53,0.08,205,326,28.83,7.64,Premium,Best-Seller
21537,RED RETROSPOT PUDDING BOWL,1550.5,23.85,65,382,5.88,4.21,0.13,52,64,29.82,5.97,High,Popular
21538,DAIRY MAID  PUDDING BOWL,18.75,9.38,2,5,2.5,3.75,0.0,2,2,9.38,2.5,Low,Niche
21539,RED RETROSPOT BUTTER DISH,4538.6,19.65,231,962,4.16,4.9,0.18,124,227,36.6,4.24,Premium,Best-Seller
21544,SKULLS  WATER TRANSFER TATTOOS ,1522.4,13.24,115,1872,16.28,0.84,0.03,80,113,19.03,16.57,High,Popular
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,212.4,12.49,17,72,4.24,2.95,0.0,13,16,16.34,4.5,Medium,Occasional
21555,CERAMIC STRAWBERRY TRINKET TRAY,140.25,11.69,12,55,4.58,2.55,0.0,11,12,12.75,4.58,Medium,Occasional
21556,CERAMIC STRAWBERRY MONEY BOX,1861.95,38.79,48,805,16.77,2.52,0.08,38,48,49.0,16.77,High,Popular
21557,SET OF 6 FUNKY BEAKERS,854.04,16.42,52,300,5.77,3.22,0.85,26,51,32.85,5.88,High,Popular
21558,SKULL LUNCH BOX WITH CUTLERY ,4635.0,16.61,279,1950,6.99,2.53,0.09,167,269,27.75,7.25,Premium,Best-Seller
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8769.89,19.58,448,3730,8.33,2.56,0.3,233,436,37.64,8.56,Premium,Best-Seller
21561,DINOSAUR LUNCH BOX WITH CUTLERY,2873.88,16.91,170,1229,7.23,2.56,0.34,116,169,24.77,7.27,Premium,Best-Seller
21562,HAWAIIAN GRASS SKIRT ,368.35,14.73,25,319,12.76,1.23,0.06,20,25,18.42,12.76,Medium,Occasional
21563,RED HEART SHAPE LOVE BUCKET ,2591.02,19.34,134,1358,10.13,2.73,0.71,95,134,27.27,10.13,Premium,Best-Seller
21564,PINK  HEART SHAPE LOVE BUCKET ,1694.57,15.99,106,1019,9.61,2.74,0.73,63,106,26.9,9.61,High,Popular
21576,LETS GO SHOPPING COTTON TOTE BAG,403.67,8.78,46,177,3.85,2.37,0.56,40,46,10.09,3.85,Medium,Popular
21577,SAVE THE PLANET COTTON TOTE BAG,1251.0,10.6,118,556,4.71,2.25,0.0,94,118,13.31,4.71,High,Popular
21578,WOODLAND DESIGN  COTTON TOTE BAG,1323.0,15.56,85,588,6.92,2.25,0.0,68,83,19.46,7.08,High,Popular
21579,LOLITA  DESIGN  COTTON TOTE BAG,369.0,9.97,37,164,4.43,2.25,0.0,31,35,11.9,4.69,Medium,Occasional
21580,RABBIT  DESIGN  COTTON TOTE BAG,202.5,8.44,24,90,3.75,2.25,0.0,21,24,9.64,3.75,Medium,Occasional
21581,SKULLS  DESIGN  COTTON TOTE BAG,398.25,9.71,41,177,4.32,2.25,0.0,33,41,12.07,4.32,Medium,Occasional
21584,RETROSPOT SMALL TUBE MATCHES,1756.55,10.98,160,1067,6.67,1.65,0.02,119,147,14.76,7.26,High,Best-Seller
21586,KINGS CHOICE GIANT TUBE MATCHES,1721.85,25.7,67,743,11.09,2.5,0.14,55,67,31.31,11.09,High,Popular
21587,COSY HOUR GIANT TUBE MATCHES,480.75,16.02,30,197,6.57,2.53,0.08,25,26,19.23,7.58,Medium,Occasional
21588,RETROSPOT GIANT TUBE MATCHES,3450.15,25.0,138,1497,10.85,2.53,0.1,98,132,35.21,11.34,Premium,Best-Seller
21591,COSY HOUR CIGAR BOX MATCHES ,1520.14,9.94,153,1238,8.09,1.25,0.02,114,143,13.33,8.66,High,Best-Seller
21592,RETROSPOT CIGAR BOX MATCHES ,2146.96,9.63,223,2148,9.63,1.13,0.3,155,208,13.85,10.33,Premium,Best-Seller
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,2072.15,27.63,75,761,10.15,2.92,0.1,59,73,35.12,10.42,Premium,Popular
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,632.75,16.65,38,221,5.82,2.94,0.06,37,38,17.1,5.82,High,Occasional
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,141.6,20.23,7,48,6.86,2.95,0.0,7,7,20.23,6.86,Medium,Niche
21615,4 LAVENDER BOTANICAL DINNER CANDLES,1195.0,11.49,104,840,8.08,1.68,0.95,86,100,13.9,8.4,High,Popular
21616,4 PEAR BOTANICAL DINNER CANDLES,1093.75,10.13,108,755,6.99,1.69,0.96,84,104,13.02,7.26,High,Popular
21617,4 LILY  BOTANICAL DINNER CANDLES,851.75,10.65,80,473,5.91,2.26,1.22,62,76,13.74,6.22,High,Popular
21618,4 WILDFLOWER BOTANICAL CANDLES,473.75,8.17,58,303,5.22,1.98,1.15,48,51,9.87,5.94,Medium,Popular
21619,4 VANILLA BOTANICAL CANDLES,1252.5,10.02,125,900,7.2,1.61,0.88,99,121,12.65,7.44,High,Popular
21620,SET OF 4 ROSE BOTANICAL CANDLES,1211.25,9.25,131,811,6.19,1.75,1.0,97,124,12.49,6.54,High,Popular
21621,VINTAGE UNION JACK BUNTING,21200.16,52.22,406,2568,6.33,8.51,0.43,267,395,79.4,6.5,Premium,Best-Seller
21622,VINTAGE UNION JACK CUSHION COVER,1874.1,18.74,100,382,3.82,4.94,0.07,78,98,24.03,3.9,High,Popular
21623,VINTAGE UNION JACK MEMOBOARD,22748.93,107.31,212,3259,15.37,9.77,0.69,140,209,162.49,15.59,Premium,Best-Seller
21624,VINTAGE UNION JACK DOORSTOP,1220.55,14.03,87,209,2.4,5.93,0.15,73,84,16.72,2.49,High,Popular
21625,VINTAGE UNION JACK APRON,2140.19,18.14,118,307,2.6,6.99,0.68,97,113,22.06,2.72,Premium,Popular
21626,VINTAGE UNION JACK PENNANT,1489.8,18.39,81,764,9.43,1.95,0.0,64,79,23.28,9.67,High,Popular
21627,ELEPHANT CARNIVAL POUFFE,568.1,23.67,24,38,1.58,14.95,0.0,14,24,40.58,1.58,Medium,Occasional
21628,TRIANGULAR POUFFE VINTAGE ,620.4,36.49,17,44,2.59,14.69,0.73,13,16,47.72,2.75,High,Occasional
21629,SQUARE FLOOR CUSHION VINTAGE RED,411.35,15.24,27,53,1.96,7.88,0.27,13,25,31.64,2.12,Medium,Occasional
21630,FLOOR CUSHION ELEPHANT CARNIVAL,470.25,20.45,23,55,2.39,8.82,0.34,13,23,36.17,2.39,Medium,Occasional
21631,HIPPY CHIC DECORATIVE PARASOL,761.85,47.62,16,155,9.69,7.25,4.4,15,16,50.79,9.69,High,Occasional
21632,VINTAGE PINK DECORATIVE PARASOL,237.0,47.4,5,60,12.0,3.95,0.0,5,5,47.4,12.0,Medium,Niche
21633,SUNFLOWER DECORATIVE PARASOL,541.2,36.08,15,88,5.87,10.4,4.03,13,15,41.63,5.87,Medium,Occasional
21634,ASSORTED MINI MADRAS NOTEBOOK,462.6,20.11,23,948,41.22,0.58,0.36,22,23,21.03,41.22,Medium,Occasional
21635,MADRAS NOTEBOOK LARGE ,367.5,24.5,15,270,18.0,1.92,1.14,15,15,24.5,18.0,Medium,Occasional
21636,MADRAS NOTEBOOK MEDIUM,703.95,9.02,78,917,11.76,0.8,0.29,60,71,11.73,12.92,High,Popular
21637,ASSORTED SANSKRIT MINI NOTEBOOK,113.75,22.75,5,91,18.2,1.25,0.0,5,5,22.75,18.2,Medium,Niche
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,493.5,15.42,32,235,7.34,2.1,0.0,25,31,19.74,7.58,Medium,Occasional
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,447.37,8.44,53,541,10.21,0.85,0.02,38,46,11.77,11.76,Medium,Popular
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,367.98,16.0,23,1102,47.91,0.48,0.27,19,23,19.37,47.91,Medium,Occasional
21642,ASSORTED TUTTI FRUTTI PEN,847.78,8.56,99,2570,25.96,0.39,0.21,81,96,10.47,26.77,High,Popular
21643,ASSORTED TUTTI FRUTTI MIRROR,609.26,19.04,32,502,15.69,1.24,0.05,27,32,22.57,15.69,High,Occasional
21644,ASSORTED TUTTI FRUTTI HEART BOX,300.0,8.33,36,240,6.67,1.25,0.0,30,34,10.0,7.06,Medium,Occasional
21645,ASSORTED TUTTI FRUTTI ROUND BOX,39.6,39.6,1,24,24.0,1.65,,1,1,39.6,24.0,Low,Niche
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,247.8,8.26,30,118,3.93,2.1,0.0,21,25,11.8,4.72,Medium,Occasional
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,791.39,23.28,34,655,19.26,1.24,0.05,27,32,29.31,20.47,High,Occasional
21650,ASSORTED TUTTI FRUTTI BRACELET,445.45,6.46,69,2221,32.19,0.24,0.15,48,62,9.28,35.82,Medium,Popular
21651,HANGING GLASS ETCHED TEALIGHT,201.75,18.34,11,131,11.91,1.61,0.08,9,10,22.42,13.1,Medium,Occasional
21654,RIDGED GLASS FINGER BOWL,432.54,8.65,50,946,18.92,0.64,0.46,40,47,10.81,20.13,Medium,Popular
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,121.68,24.34,5,72,14.4,1.69,0.0,1,5,121.68,14.4,Medium,Niche
21656,RIDGED GLASS POSY VASE ,169.65,9.98,17,117,6.88,1.45,0.0,15,17,11.31,6.88,Medium,Occasional
21657,MILK BOTTLE WITH GLASS STOPPER ,194.6,12.97,15,28,1.87,6.95,0.0,11,15,17.69,1.87,Medium,Occasional
21658,GLASS  BEURRE DISH,2990.36,19.54,153,804,5.25,3.88,0.18,83,149,36.03,5.4,Premium,Best-Seller
21661,VINTAGE GLASS TEA CADDY,17.85,5.95,3,3,1.0,5.95,0.0,3,3,5.95,1.0,Low,Niche
21662,VINTAGE GLASS COFFEE CADDY,416.3,26.02,16,74,4.62,5.92,0.12,14,16,29.74,4.62,Medium,Occasional
21664,RIDGED GLASS STORAGE JAR CREAM LID,346.47,18.24,19,97,5.11,3.73,0.08,15,17,23.1,5.71,Medium,Occasional
21666,RIDGED GLASS T-LIGHT HOLDER,249.6,7.56,33,384,11.64,0.65,0.0,21,33,11.89,11.64,Medium,Occasional
21667,GLASS CAKE COVER AND PLATE,59.8,29.9,2,4,2.0,14.95,0.0,1,2,59.8,2.0,Low,Niche
